Market_Cap,Last_Price,Price–earnings_ratio,Dividend_yield,Return_on_equity,Company_Key,Stock_Key
45.00m,0.09,-,1.11,-,2458,2765
875.00m,1.75,12.58,0.00,11.40,8149,5289
167.28m,0.28,98.21,3.64,1.40,4166,3730
2.028b,2.24,7.58,6.70,7.09,6637,8025
1.292b,0.56,22.11,3.48,2.54,3119,9945
5.733b,1.60,20.41,3.77,7.37,6465,9637
36.71m,0.12,-,0.00,-52.19,7406,6215
51.956b,5.90,24.63,1.02,8.23,2333,1965
-,99.20,-,-,-,5227,2474
6.091b,1.67,7.99,3.59,7.52,1690,8628
85.81m,0.44,21.26,0.00,1.72,7154,2129
398.40m,4.98,182.42,0.70,1.73,6379,9329
28.89m,0.02,-,0.00,-12.19,6046,4699
9.399b,2.52,24.05,3.97,15.50,2615,4422
172.51m,0.41,-,0.00,-1.29,9208,5437
152.56m,0.42,-,0.00,-,8429,8278
98.79m,0.10,7.25,0.00,16.63,4270,1827
388.23m,0.55,20.83,5.45,12.88,9832,2596
61.34m,0.44,15.94,0.00,9.75,8919,6966
641.67m,1.34,5.44,16.42,36.22,2806,7425
526.94m,0.76,2.45,3.29,9.37,3573,9560
117.76m,0.22,12.94,4.55,6.07,6385,6638
23.695b,3.77,13.73,3.71,15.60,6966,4659
5.148b,0.94,7.50,2.14,3.36,2103,2783
54.58m,0.62,-,0.00,-6.73,5394,9194
8.87m,0.04,-,0.00,-10.33,8655,4802
110.48m,0.49,-,0.00,-,7684,5610
391.55m,0.12,52.17,0.00,2.30,1042,6827
35.00m,0.08,-,0.00,-35.20,6417,5586
31.86m,0.07,-,0.00,-28.70,1864,5729
234.89m,0.26,-,0.00,-3.82,7334,6946
96.28m,0.23,19.83,0.00,1.81,2557,3392
80.74m,0.08,-,0.00,-8.70,3631,2113
212.43m,0.34,13.29,1.49,6.98,2095,3120
521.83m,0.25,13.16,0.00,2.84,9340,4238
65.18m,0.15,111.54,0.00,0.93,8205,6191
190.78m,0.70,8.89,7.55,11.33,3084,4752
165.04m,1.25,7.40,2.80,6.31,5631,7478
287.11m,0.14,192.86,0.00,0.17,8845,3819
2.46m,0.03,-,0.00,-,7040,4268
56.27m,0.21,-,0.00,-8.75,6863,2069
588.68m,0.64,34.14,1.57,13.19,5275,7756
574.33m,1.03,16.14,0.00,13.29,7321,6450
55.10m,0.23,-,0.00,-2.27,1075,5988
110.52m,0.47,-,0.00,-,9513,7768
238.87m,0.11,9.55,0.00,4.78,1218,7419
45.89m,0.02,-,0.00,-37.67,4269,4007
52.56m,0.05,-,0.00,-4.32,2414,2883
194.28m,0.55,6.69,0.00,16.78,4609,6852
467.38m,0.48,3.44,5.83,10.64,1183,3662
87.36m,0.11,-,0.00,-6.52,2837,5548
813.60m,0.45,300.00,0.00,2.14,7727,3214
32.67m,0.17,6.47,0.00,2.20,7965,8655
24.12m,0.04,-,0.00,-5270.00,1173,9311
379.25m,0.36,-,0.00,-1.37,7510,6104
80.87m,0.17,10.06,5.88,7.04,9669,3204
775.71m,2.15,20.81,1.40,9.84,2363,6740
124.15m,1.14,5.69,1.32,14.94,2881,3961
78.61m,0.41,13.44,0.00,1.59,6314,4786
647.47m,0.88,7.29,11.93,8.75,3259,4805
1.457b,1.15,13.01,3.04,9.21,2067,6431
290.35m,6.75,174.42,1.33,0.46,5403,9380
